VARNAMES: CID IDSURVEY zCMB zHEL MU MUERR MUERR_VPEC MUERR_SYS
SN: 2006bh       5 0.01028 0.01028 33.45523  0.23310  0.17700  0.02278
SN: 2002dp      63 0.01061 0.01061 33.48680  0.22880  0.17160  0.03782
SN: ASASSN-16jf 150 0.01110 0.01110 33.57510  0.22560  0.16400  0.03982
SN: 2009ab       5 0.01155 0.01155 33.79235  0.21180  0.15770  0.05916
SN: 2002ha      63 0.01258 0.01258 33.93658  0.20920  0.14480  0.02827
SN: 2009kq      66 0.01259 0.01259 33.63615  0.20930  0.14470  0.05425
SN: 2001ep      63 0.01283 0.01283 33.71493  0.20120  0.14200  0.04034
SN: 2006td      64 0.01450 0.01450 34.30089  0.19480  0.12580  0.07556
SN: 2005bo       5 0.01463 0.01463 33.89492  0.18930  0.12470  0.15859
SN: 2001fe      63 0.01467 0.01467 34.07516  0.18910  0.12430  0.04361
SN: 2006hb      64 0.01518 0.01518 34.07177  0.18530  0.12020  0.04432
SN: ATLAS16cxr 150 0.01543 0.01543 34.53807  0.17780  0.11830  0.04228
SN: 2001en      63 0.01550 0.01550 34.03574  0.18490  0.11770  0.02486
SN: 2001V       63 0.01557 0.01557 33.97035  0.18710  0.11720  0.01656
SN: ASASSN-15oh 150 0.01573 0.01573 34.49543  0.18920  0.11600  0.04276
SN: 2009nq      66 0.01576 0.01576 34.27970  0.23870  0.11580  0.04300
SN: 2001bf      63 0.01581 0.01581 34.13250  0.18590  0.11540  0.01669
SN: ASASSN-16ad 150 0.01588 0.01588 34.22780  0.17370  0.11490  0.04027
SN: SN2017jl   150 0.01591 0.01591 33.96256  0.17420  0.11470  0.05486
SN: ASASSN-15ti 150 0.01647 0.01647 34.62795  0.17350  0.11080  0.04052
SN: 2007ss      65 0.01652 0.01652 34.30383  0.19140  0.11050  0.24869
SN: 2007A       65 0.01682 0.01682 34.60860  0.17540  0.10860  0.06126
SN: SN2016gfr  150 0.01691 0.01691 34.09334  0.16970  0.10800  0.04241
SN: ASASSN-15kx 150 0.01713 0.01713 34.79197  0.17120  0.10660  0.03622
SN: 2001da      63 0.01718 0.01718 34.21994  0.21980  0.10630  0.07660
SN: 2008C       65 0.01737 0.01737 34.33529  0.17280  0.10510  0.08955
SN: 2001G       63 0.01770 0.01770 34.32341  0.18940  0.10320  0.05665
SN: 2009le      66 0.01784 0.01784 34.34761  0.17150  0.10240  0.03209
SN: 2007as       5 0.01802 0.01802 34.32436  0.17480  0.10140  0.04396
SN: ATLAS16cpu 150 0.01842 0.01842 34.64075  0.16820  0.09920  0.05749
SN: ASASSN-17co 150 0.01844 0.01844 34.28469  0.16810  0.09910  0.09311
SN: PS15coh    150 0.01857 0.01857 34.64893  0.16360  0.09840  0.05888
SN: 2008ff       5 0.01923 0.01923 34.50785  0.17600  0.09510  0.02736
SN: 2008hs      65 0.01975 0.01975 34.81531  0.18440  0.09260  0.06204
