VARNAMES: CID IDSURVEY zCMB zHEL MU MUERR MUERR_VPEC
SN: 2006bh       5 0.01028 0.01028 33.47840  0.21310  0.17700
SN: 2002dp      63 0.01061 0.01061 33.41400  0.21140  0.17160
SN: ASASSN-16jf 150 0.01096 0.01096 33.63540  0.20620  0.16610
SN: iPTF13ebh    5 0.01114 0.01114 33.63790  0.20280  0.16350
SN: 2009ab       5 0.01155 0.01155 33.67530  0.20420  0.15770
SN: 2008R        5 0.01246 0.01246 33.94500  0.18950  0.14620
SN: 2002ha      63 0.01259 0.01259 33.88520  0.18880  0.14470
SN: 2009kq      66 0.01259 0.01259 33.70590  0.18810  0.14470
SN: 2001ep      63 0.01283 0.01283 33.65210  0.18430  0.14200
SN: AT2017cfd  150 0.01304 0.01304 33.77000  0.17920  0.13980
SN: 2007hj      65 0.01325 0.01325 33.98470  0.18230  0.13760
SN: 2008hv      65 0.01375 0.01375 34.01590  0.17660  0.13260
SN: ASASSN-16dn 150 0.01411 0.01411 34.01620  0.16900  0.12920
SN: ASASSN-16la 150 0.01424 0.01424 33.98120  0.17290  0.12810
SN: 2005kc      64 0.01442 0.01442 34.03990  0.17730  0.12650
SN: 2006td      64 0.01450 0.01450 34.35880  0.17280  0.12580
SN: 2004eo       5 0.01460 0.01460 33.89190  0.17250  0.12490
SN: 2001fe      63 0.01467 0.01467 33.98490  0.17250  0.12430
SN: SN2017jl   150 0.01525 0.01525 33.97370  0.16480  0.11960
SN: ASASSN-16ad 150 0.01529 0.01529 34.28210  0.16270  0.11930
SN: ATLAS16cxr 150 0.01542 0.01542 34.51480  0.16490  0.11830
SN: iPTF16auf  150 0.01543 0.01543 34.19070  0.16170  0.11830
SN: 2008bc       5 0.01546 0.01546 34.51440  0.18560  0.11800
SN: 2001en      63 0.01550 0.01550 34.06120  0.16570  0.11770
SN: 2001V       63 0.01557 0.01557 33.87150  0.16600  0.11720
SN: 2009nq      66 0.01566 0.01566 34.23830  0.19220  0.11650
SN: 2005al       5 0.01578 0.01578 34.18030  0.16400  0.11570
SN: 2001bf      63 0.01581 0.01581 33.94090  0.16940  0.11540
SN: ASASSN-15oh 150 0.01587 0.01587 34.38210  0.16820  0.11500
SN: 2007ss      65 0.01652 0.01652 34.54100  0.16530  0.11050
SN: SN2016gfr  150 0.01671 0.01671 34.16850  0.15690  0.10930
SN: ASASSN-16ip 150 0.01678 0.01678 34.38040  0.15740  0.10880
SN: 2007A       65 0.01682 0.01682 34.59700  0.16200  0.10860
SN: PSNJ0107203 150 0.01682 0.01682 34.07580  0.16020  0.10860
SN: ASASSN-15ti 150 0.01692 0.01692 34.60720  0.15730  0.10790
SN: ASASSN-15od 150 0.01698 0.01698 34.48940  0.15640  0.10750
SN: 2001da      63 0.01702 0.01702 34.40550  0.19520  0.10730
SN: ASASSN-15kx 150 0.01720 0.01720 34.75680  0.15620  0.10620
SN: 2008C       65 0.01737 0.01737 34.39380  0.15820  0.10510
SN: 2006ax      64 0.01747 0.01747 34.49070  0.15600  0.10460
SN: 2001G       63 0.01770 0.01770 34.35750  0.16340  0.10320
SN: 2009le      66 0.01784 0.01784 34.38840  0.15570  0.10240
SN: 2007as       5 0.01802 0.01802 34.48790  0.15760  0.10140
SN: ASASSN-17co 150 0.01826 0.01826 34.35530  0.15140  0.10010
SN: PS15coh    150 0.01839 0.01839 34.56310  0.15010  0.09940
SN: 2008hs      65 0.01842 0.01842 34.73270  0.15910  0.09920
SN: ATLAS16cpu 150 0.01865 0.01865 34.82050  0.14950  0.09800
SN: 2008L       64 0.01894 0.01894 34.40970  0.16060  0.09650
SN: ASASSN-16cs 150 0.01905 0.01905 34.68990  0.14800  0.09600
SN: 2006kf      64 0.01947 0.01947 34.91470  0.15660  0.09390
SN: 2008fl       5 0.01979 0.01979 34.60370  0.15520  0.09240
SN: 2016W      150 0.01995 0.01995 34.52870  0.14540  0.09170
SN: 2002kf      63 0.02001 0.02001 34.83470  0.16590  0.09140
SN: 2009ds      65 0.02019 0.02019 34.63420  0.14770  0.09060
SN: 2006ej      64 0.02023 0.02023 34.83020  0.14780  0.09040
SN: 2002jy      63 0.02024 0.02024 35.02750  0.14740  0.09040
SN: ATLAS16dqf 150 0.02034 0.02034 34.96590  0.15030  0.08990
SN: 2005ki      64 0.02035 0.02035 34.77150  0.14680  0.08990
SN: ASASSN-15lg 150 0.02044 0.02044 34.84480  0.14430  0.08950
SN: PSNJ1602512 150 0.02052 0.02052 35.00270  0.14020  0.08910
SN: 2007st       5 0.02056 0.02056 34.49630  0.15250  0.08900
SN: ASASSN-17bs 150 0.02056 0.02056 34.64950  0.14480  0.08900
SN: 2010A       66 0.02081 0.02081 34.70170  0.14960  0.08790
SN: 2003W       63 0.02082 0.02082 34.80160  0.14750  0.08790
SN: AT2016eoa  150 0.02106 0.02106 34.77130  0.15270  0.08690
SN: ASASSN-16lg 150 0.02116 0.02116 34.57520  0.14440  0.08650
SN: 2007bc      64 0.02131 0.02131 34.86010  0.14460  0.08590
SN: 2006et      64 0.02185 0.02185 34.83620  0.14420  0.08380
SN: 2009na      66 0.02205 0.02205 34.88820  0.14300  0.08300
SN: ATLAS16dpb 150 0.02215 0.02215 35.14190  0.14560  0.08260
SN: 2008ia       5 0.02231 0.02231 35.12290  0.14710  0.08210
SN: 2006cp      64 0.02239 0.02239 34.93670  0.14300  0.08180
SN: ASASSN-17aj 150 0.02255 0.02255 34.90660  0.13870  0.08120
SN: 2006mp      64 0.02256 0.02256 35.13600  0.14370  0.08120
SN: AT2017cfb  150 0.02266 0.02266 35.01870  0.13740  0.08080
SN: 2006bq      64 0.02270 0.02270 35.03490  0.14330  0.08070
SN: ASASSN-15il 150 0.02295 0.02295 34.98150  0.13820  0.07980
SN: PS15cku    150 0.02325 0.02325 35.12380  0.13420  0.07880
SN: 2009al      65 0.02342 0.02342 34.97180  0.14110  0.07820
SN: 2009cz       5 0.02343 0.02343 34.94840  0.14050  0.07820
SN: ASASSN-15nr 150 0.02344 0.02344 35.09000  0.13730  0.07810
SN: 2007qe      64 0.02357 0.02357 35.21880  0.13840  0.07770
SN: ATLAS17bas 150 0.02357 0.02357 34.74100  0.13610  0.07770
SN: ASASSN-15tz 150 0.02365 0.02365 35.12180  0.13780  0.07750
SN: 2006sr      64 0.02388 0.02388 35.14060  0.13950  0.07670
SN: ASASSN-16em 150 0.02390 0.02390 35.39610  0.13340  0.07670
SN: 2007F       64 0.02417 0.02417 35.18230  0.13700  0.07580
SN: AT2016bln  150 0.02429 0.02429 35.22410  0.13320  0.07540
SN: 2006ac      64 0.02432 0.02432 35.13610  0.13880  0.07540
SN: ASASSN-15sf 150 0.02432 0.02432 35.43900  0.13550  0.07540
SN: 2005bg       5 0.02434 0.02434 35.17300  0.13600  0.07530
SN: 2009D       65 0.02453 0.02453 35.09800  0.14130  0.07470
SN: PS16ccn    150 0.02457 0.02457 35.29310  0.13510  0.07460
SN: 2008bf      64 0.02462 0.02462 35.16720  0.13690  0.07440
SN: ASASSN-16hz 150 0.02466 0.02466 35.11580  0.13330  0.07430
SN: Gaia16agf  150 0.02509 0.02509 35.37960  0.13350  0.07310
SN: 2003it      63 0.02510 0.02510 35.15900  0.14590  0.07300
SN: 2007cq      64 0.02510 0.02510 35.03320  0.13630  0.07300
SN: AT2017cfc  150 0.02512 0.02512 35.12260  0.13220  0.07300
SN: 2002he      63 0.02519 0.02519 35.27810  0.14390  0.07280
SN: 2002bf      63 0.02525 0.02525 35.09150  0.15140  0.07260
SN: ASASSN-16bq 150 0.02534 0.02534 35.35440  0.13320  0.07240
SN: PS15ahs    150 0.02534 0.02534 35.38400  0.13090  0.07240
SN: 2007sw      65 0.02546 0.02546 35.26980  0.13640  0.07200
SN: PSNJ0153424 150 0.02556 0.02556 35.26610  0.13110  0.07170
SN: SN2017hn   150 0.02557 0.02557 35.22110  0.13490  0.07170
SN: SN2017ms   150 0.02591 0.02591 35.38290  0.13550  0.07080
SN: PSNJ2352371 150 0.02596 0.02596 35.48280  0.13380  0.07060
SN: 2005M       64 0.02598 0.02598 35.21730  0.13320  0.07060
SN: SN2017mf   150 0.02598 0.02598 35.39300  0.13470  0.07060
SN: ASASSN-15uu 150 0.02632 0.02632 34.95890  0.13290  0.06970
SN: 2005ms      64 0.02669 0.02669 35.41410  0.13350  0.06870
SN: ASASSN-15mf 150 0.02695 0.02695 35.34430  0.13210  0.06810
SN: ASASSN-17at 150 0.02713 0.02713 35.36240  0.12960  0.06760
SN: 2005na      64 0.02726 0.02726 35.24760  0.13290  0.06730
SN: 2007co      64 0.02731 0.02731 35.48070  0.13430  0.06720
SN: ASASSN-15fa 150 0.02741 0.02741 35.52380  0.12860  0.06700
SN: ASASSN-16av 150 0.02773 0.02773 35.39570  0.13110  0.06620
SN: 2006ev      64 0.02810 0.02810 35.79990  0.13650  0.06530
SN: PSNJ0252467 150 0.02816 0.02816 35.57100  0.13290  0.06520
SN: 2009aa       5 0.02819 0.02819 35.44140  0.13080  0.06510
SN: 2005eq      64 0.02823 0.02823 35.68090  0.13270  0.06500
SN: 2009ad      65 0.02844 0.02844 35.50930  0.13630  0.06460
SN: 2008ar      65 0.02849 0.02849 35.42350  0.13000  0.06450
SN: AT2017ns   150 0.02849 0.02849 35.47770  0.13050  0.06450
SN: 2004gs       5 0.02857 0.02857 35.65400  0.13400  0.06430
SN: 2007is      65 0.02866 0.02866 35.58680  0.13980  0.06410
SN: 2003U       63 0.02883 0.02883 35.36520  0.14360  0.06370
SN: ASASSN-15la 150 0.02902 0.02902 35.16910  0.12670  0.06330
SN: PS16cvc    150 0.02915 0.02915 35.85880  0.12480  0.06300
SN: ASASSN-15fs 150 0.02917 0.02917 35.34490  0.12700  0.06300
SN: ASASSN-16ay 150 0.02938 0.02938 35.70220  0.12780  0.06250
SN: PSNJ0859349 150 0.02938 0.02938 35.55380  0.12500  0.06250
SN: 2006qo      64 0.02939 0.02939 35.50620  0.13430  0.06250
SN: ASASSN-16fs 150 0.02944 0.02944 35.47400  0.12890  0.06240
SN: 2003ch      63 0.02951 0.02951 35.77950  0.13560  0.06230
SN: ASASSN-16aj 150 0.02953 0.02953 35.54070  0.12920  0.06220
SN: ASASSN-16br 150 0.02956 0.02956 35.66160  0.12860  0.06220
SN: AT2017zd   150 0.02969 0.02969 35.48000  0.12880  0.06190
SN: ATLAS17ajn 150 0.02978 0.02978 35.68190  0.13370  0.06170
SN: 2002ck      63 0.02987 0.02987 35.68600  0.13860  0.06150
SN: Gaia16bba  150 0.02990 0.02990 35.55860  0.13010  0.06150
SN: 2004ef      64 0.03012 0.03012 35.62040  0.13110  0.06100
SN: ASASSN-15nq 150 0.03023 0.03023 35.73000  0.12670  0.06080
SN: AT2017lm   150 0.03031 0.03031 35.74480  0.12960  0.06060
SN: ASASSN-16fo 150 0.03036 0.03036 35.65140  0.12620  0.06050
SN: AT2016cyt  150 0.03059 0.03059 35.50420  0.12510  0.06010
SN: ASASSN-15uw 150 0.03076 0.03076 35.56730  0.12660  0.05980
SN: ASASSN-16hr 150 0.03083 0.03083 35.78860  0.12650  0.05960
SN: PS15cwx    150 0.03086 0.03086 35.55980  0.13030  0.05960
SN: 2008gg       5 0.03114 0.03114 35.68520  0.13340  0.05900
